"ら戳","Θユ计","Θユ肂","秨絃基","程蔼基","程基","Μ絃基","害禴基畉","Θユ掸计","フ"
"2018/11/01","6,807,294","532,547,148","77.85","78.45","77.55","78.40","+0.85","3,048",
"2018/11/02","6,722,329","527,356,465","78.40","78.80","78.00","78.65","+0.25","3,073",
"2018/11/05","4,657,750","363,054,360","78.10","78.25","77.60","78.25","-0.40","2,195",
"2018/11/06","6,206,482","483,978,162","78.45","78.50","77.75","78.00","-0.25","2,046",
"2018/11/07","6,194,750","485,644,361","78.20","78.55","78.05","78.40","+0.40","2,594",
"2018/11/08","10,309,985","813,484,895","79.15","79.40","78.50","78.85","+0.45","3,816",
"2018/11/09","36,848,011","2,867,181,167","78.50","78.50","77.65","77.80","-1.05","2,930",
"2018/11/12","6,133,260","478,405,835","77.75","78.30","77.55","78.00","+0.20","1,628",
"2018/11/13","10,711,869","819,374,746","76.15","77.25","75.70","77.10","-0.90","3,762",
"2018/11/14","6,293,375","486,228,774","77.25","77.40","77.00","77.35","+0.25","1,626",
"2018/11/15","5,694,368","440,513,236","77.50","77.65","76.75","77.60","+0.25","1,247",
"2018/11/16","8,883,904","685,298,620","77.95","77.95","76.85","76.95","-0.65","2,331",
"2018/11/19","7,058,370","541,993,834","77.05","77.15","76.60","76.70","-0.25","1,672",
"2018/11/20","8,625,123","656,617,939","76.40","76.50","75.75","76.00","-0.70","3,297",
"2018/11/21","15,125,043","1,143,349,727","75.30","76.05","74.85","76.00"," 0.00","3,739",
"2018/11/22","5,934,803","450,631,578","76.10","76.25","75.60","75.60","-0.40","2,029",
"2018/11/23","4,041,215","304,440,003","75.70","75.85","75.05","75.35","-0.25","2,078",
"2018/11/26","6,330,267","483,137,195","75.90","76.95","75.75","76.15","+0.80","2,266",
"2018/11/27","7,625,933","576,522,804","75.95","76.05","75.20","76.05","-0.10","2,519",
"2018/11/28","7,549,760","577,452,117","76.15","76.95","75.75","76.90","+0.85","2,641",
"2018/11/29","8,881,587","687,927,261","77.70","77.95","77.05","77.05","+0.15","2,527",
"2018/11/30","4,210,211","324,711,501","77.20","77.35","76.75","76.75","-0.30","1,670",
"2018/10/01","5,914,234","516,131,207","86.90","87.40","86.90","87.35","+0.45","2,729",
"2018/10/02","5,434,332","469,382,289","87.25","87.25","86.00","86.05","-1.30","2,466",
"2018/10/03","4,369,690","375,778,640","86.05","86.30","85.80","85.95","-0.10","1,554",
"2018/10/04","9,736,968","827,292,110","85.70","85.70","84.80","84.90","-1.05","4,230",
"2018/10/05","26,744,096","2,239,942,717","84.50","84.50","83.00","83.45","-1.45","11,367",
"2018/10/08","46,523,204","3,855,479,629","82.95","83.40","82.50","83.00","-0.45","16,777",
"2018/10/09","20,530,897","1,706,528,887","83.05","83.40","82.80","83.25","+0.25","9,093",
"2018/10/11","68,551,624","5,389,808,235","80.15","80.15","77.35","77.40","-5.85","29,625",
"2018/10/12","23,183,282","1,825,995,175","77.70","80.05","77.50","80.05","+2.65","11,298",
"2018/10/15","49,299,658","3,886,740,002","79.50","79.50","78.65","79.20","-0.85","12,199",
"2018/10/16","16,686,645","1,319,117,765","79.00","79.50","78.60","79.30","+0.10","6,313",
"2018/10/17","20,309,037","1,623,444,090","80.45","80.50","79.35","79.40","+0.10","8,082",
"2018/10/18","7,988,282","633,217,825","79.50","79.75","78.95","79.15","-0.25","3,397",
"2018/10/19","12,064,036","948,108,881","78.20","79.30","78.00","79.30","+0.15","3,531",
"2018/10/22","12,453,453","979,040,928","78.35","79.55","78.00","79.20","-0.10","3,464",
"2018/10/23","24,898,392","1,943,501,426","78.10","78.60","77.70","77.75","-1.45","8,141",
"2018/10/24","13,002,500","1,004,568,676","77.80","77.95","76.70","77.40","-0.35","5,533",
"2018/10/25","28,935,886","2,190,854,586","75.50","76.20","75.30","75.50","-1.90","7,121",
"2018/10/26","17,783,781","1,338,505,238","76.25","76.45","74.50","75.40","-0.10","6,911",
"2018/10/29","9,883,260","747,884,213","75.85","76.10","75.35","75.75","+0.35","3,121",
"2018/10/30","6,119,050","464,489,618","75.80","76.25","75.50","75.95","+0.20","2,313",
"2018/10/31","9,898,224","764,366,541","76.60","77.55","76.60","77.55","+1.60","4,310",
"2018/09/03","3,670,077","318,489,642","86.95","87.20","86.40","86.45","-0.50","1,852",
"2018/09/04","2,357,725","204,511,025","86.80","87.00","86.45","87.00","+0.55","1,553",
"2018/09/05","2,496,308","217,228,848","87.00","87.30","86.70","87.00"," 0.00","1,053",
"2018/09/06","1,945,889","168,384,874","86.90","86.90","86.20","86.50","-0.50","1,168",
"2018/09/07","2,505,908","216,029,254","86.20","86.45","86.00","86.40","-0.10","1,256",
"2018/09/10","5,319,281","457,230,691","86.60","86.60","85.65","86.00","-0.40","2,224",
"2018/09/11","19,525,404","1,672,322,444","85.95","86.00","85.40","85.65","-0.35","7,801",
"2018/09/12","18,583,973","1,588,075,828","85.85","85.90","85.25","85.55","-0.10","7,809",
"2018/09/13","20,996,200","1,789,506,288","85.80","85.80","84.90","84.95","-0.60","9,849",
"2018/09/14","8,616,375","741,763,887","85.75","86.50","85.60","86.50","+1.55","3,095",
"2018/09/17","8,988,960","773,023,506","86.50","86.50","85.70","85.85","-0.65","2,440",
"2018/09/18","6,140,571","524,809,750","85.60","85.70","85.20","85.40","-0.45","2,243",
"2018/09/19","6,881,627","591,822,766","85.80","86.30","85.70","86.15","+0.75","3,226",
"2018/09/20","4,159,776","357,894,112","86.45","86.55","85.80","85.90","-0.25","1,030",
"2018/09/21","7,370,439","636,825,668","86.25","86.85","85.90","86.85","+0.95","2,626",
"2018/09/25","7,506,252","652,734,924","86.65","87.15","86.60","87.10","+0.25","2,984",
"2018/09/26","8,036,503","698,254,201","86.90","87.00","86.75","86.90","-0.20","2,692",
"2018/09/27","27,800,036","2,423,747,411","86.60","87.45","86.60","87.35","+0.45","8,114",
"2018/09/28","13,202,371","1,151,404,227","87.35","87.65","86.60","86.90","-0.45","4,328",
"2018/08/01","4,012,507","345,034,802","85.80","86.20","85.80","86.15","+0.60","1,507",
"2018/08/02","4,774,950","408,144,300","86.10","86.15","84.85","84.85","-1.30","1,255",
"2018/08/03","1,225,166","104,806,018","85.40","85.70","85.35","85.55","+0.70","661",
"2018/08/06","2,424,671","208,061,157","85.55","86.10","85.35","85.70","+0.15","1,169",
"2018/08/07","1,199,281","102,654,664","85.70","85.80","85.40","85.50","-0.20","893",
"2018/08/08","4,074,984","351,307,291","85.80","86.40","85.80","86.15","+0.65","1,274",
"2018/08/09","1,631,789","140,409,677","86.10","86.25","85.70","86.15"," 0.00","860",
"2018/08/10","1,279,917","109,887,403","85.70","86.15","85.65","85.70","-0.45","717",
"2018/08/13","7,284,934","613,593,198","85.05","85.05","83.65","83.95","-1.75","3,154",
"2018/08/14","2,243,205","189,202,665","84.40","84.60","84.05","84.55","+0.60","1,082",
"2018/08/15","4,279,671","358,442,697","84.50","84.50","83.45","83.75","-0.80","2,778",
"2018/08/16","4,532,542","378,662,628","83.25","84.10","83.05","83.80","+0.05","1,957",
"2018/08/17","4,640,039","388,914,326","83.95","84.15","83.60","83.65","-0.15","1,655",
"2018/08/20","3,147,996","264,000,882","83.90","84.10","83.70","83.95","+0.30","1,466",
"2018/08/21","5,023,058","423,888,290","83.90","84.65","83.90","84.55","+0.60","1,700",
"2018/08/22","3,545,768","300,217,040","84.70","84.85","84.35","84.65","+0.10","1,156",
"2018/08/23","3,869,236","328,564,580","84.80","85.20","84.60","85.05","+0.40","903",
"2018/08/24","2,549,174","216,059,090","85.00","85.10","84.45","84.80","-0.25","810",
"2018/08/27","5,025,454","428,795,783","85.00","85.55","85.00","85.55","+0.75","1,853",
"2018/08/28","8,288,078","714,613,443","85.95","86.40","85.95","86.25","+0.70","2,833",
